"S
No.",Polic e BS No.,Name of Distt.,Name of Police Station,"No of NH
road",name of the location place,Limits high accident prone Location,Unnamed: 7,Number of Accident,Unnamed: 9,Unnamed: 10,Unnamed: 11,Number of fatalities,Unnamed: 13,Unnamed: 14,Unnamed: 15,Latitude,Longitude
1.0,247.0,JODHPUR,DANGIYA WAS,NH- 112,DATIWARA BHOMIYAJI THAN TO BISALPUR FANTA,"88.400
KM","88.900
KM",3.0,1.0,4.0,8,1.0,1.0,4.0,6,14.8073777,74.129898
2.0,248.0,JODHPUR,MANDOR E,NH- 62,MANDORE OVER BRIDGE TO NLU,2.5  KM,3  KM,1.0,2.0,2.0,5,1.0,2.0,2.0,5,26.6178272,76.3217567
3.0,249.0,JODHPUR,KARWAR,NH- 62,Netra Village to Naganaray Hotel,"265.2
KM","265.7
KM",2.0,3.0,3.0,8,2.0,5.0,3.0,10,26.6178272,76.3217567
4.0,250.0,JODHPUR,KARWAR,NH- 62,Ralawas Puliya to Chhagniram Plant,"287.7
KM","288.2
KM",5.0,2.0,1.0,8,6.0,2.0,1.0,9,,
5.0,250.0,JODHPUR,KARWAR,NH- 62,Ralawas Puliya to Chhagniram Plant,"287.7
KM","288.2
KM",5.0,2.0,1.0,8,6.0,2.0,1.0,9,19.1250919,72.8489632
6.0,252.0,JODHPUR,KUDI BHAGTA SANI,NH 62,KUDI VILLAGE PALI ROAD,10 KM,"10.5
KM",6.0,2.0,1.0,9,4.0,2.0,1.0,7,28.6746196,77.18017569999999
7.0,253.0,JODHPUR,KUDI BHAGTA SANI,NH 62,MOGRA  VILLAGE PALI ROAD,15 KM,"15.5
KM",3.0,5.0,8.0,16,3.0,5.0,8.0,16,26.3427037,73.0443233
8.0,254.0,JODHPUR,SHASTRI NAGAR,NH 62,BHERU CHORAYA,2 KM,"2. 100
KM",1.0,4.0,0.0,5,1.0,4.0,0.0,5,21.4460652,91.97586150000001
9.0,255.0,JODHPUR,SHASTRI NAGAR,NH 62,MANDORE OVER BRIDGE TO NLU,3 KM,3.5 KM,5.0,0.0,3.0,8,5.0,0.0,3.0,8,26.1803099,73.7057166
10.0,256.0,JODHPUR,RAJEEV GANDHI NAGAR,NH 125,DAMPING  STATION 12 MIL,17 KM,"17.5
KM",4.0,0.0,4.0,8,5.0,0.0,4.0,9,,
11.0,257.0,JODHPUR,Bilara,"NH 112/2
5",ljgn dkijMk,72 KM,"72.500
KM",6.0,1.0,1.0,8,12.0,1.0,1.0,14,,
12.0,258.0,JODHPUR,'ksjx<+,NH 125,ls[kkyk frjk;k,100 KM,"100.50
0 KM",3.0,3.0,1.0,7,5.0,4.0,1.0,10,,
13.0,259.0,JODHPUR,[ksMkik,NH 62,dkLVh pkSjkgk ckoMh,44.2 KM,"44.7
KM",7.0,9.0,3.0,19,6.0,10.0,4.0,20,,
14.0,260.0,JODHPUR,ckyslj,NH 125,rksyslj iqjksfgrku,"40.500
KM",41 KM,1.0,0.0,0.0,1,16.0,0.0,0.0,16,,
15.0,261.0,JODHPUR,ckyslj,NH 125,<k<f.k;ka,"60.500
KM",61 KM,1.0,0.0,0.0,1,14.0,0.0,0.0,14,,
16.0,262.0,JODHPUR,cki,NH 11,Ckki es esa dkuklj pkSjk;k    ls uks[k pkSjk;k rd,"298.600
KM",299 KM,2.0,3.0,2.0,7,3.0,2.0,2.0,7,,
17.0,151.0,SHRIGAN GANGAR,lwjrx< 'kgj,NH- 62,ihisj.k cl LVs.M,82  KM,"82.5
KM",3.0,2.0,1.0,6,3.0,0.0,0.0,3,,
18.0,152.0,SHRIGAN GANGAR,tokgjuxj,NH- 62,2 Mh ls dkyqokyk iqy,245 KM,"245.5
KM",2.0,1.0,3.0,6,3.0,1.0,2.0,6,,
19.0,153.0,SHRIGAN GANGAR,jkft;klj,NH- 62,ekSdylj QkaVk,129 KM,"129.5
KM",4.0,2.0,4.0,10,9.0,2.0,4.0,15,23.8849717,73.56235749999999
20.0,154.0,SHRIGAN GANGAR,jkft;klj,NH- 62,izseuxj QkaVk,134 KM,"134.5
KM",2.0,2.0,2.0,6,2.0,2.0,3.0,7,23.7790111,73.5171357
21.0,307.0,DUNGAR PUR,bichhiwar a,NH 48,bokhla,Ahamdab ad 167 KM,167.5K M,6.0,3.0,6.0,15,7.0,4.0,5.0,16,23.7790111,73.5171357
22.0,308.0,DUNGAR PUR,bichiwara,NH 48,AARA PULIYA,Ahamdab ad 157 KM,"157.3
KM",10.0,7.0,10.0,27,3.0,4.0,12.0,19,23.665708,74.0241367
23.0,309.0,DUNGAR PUR,bichiwara,NH 48,Lehna ghati,BICHIWA RA 04 KM,"4.500
KM",8.0,9.0,13.0,30,4.0,6.0,10.0,20,26.5981243,75.0372876
24.0,310.0,DUNGAR PUR,sagwara,NH 927 A,nandaud,Dungarp ur 40 KM,"40.200
KM",3.0,2.0,3.0,8,0.0,0.0,4.0,4,23.8500156,72.1210274
25.0,192.0,AJMER,bandersi ndri,NH-8,bandersindri choraha,88.5 KM,89KM,9.0,10.0,3.0,22,4.0,2.0,2.0,8,33.0308295,74.9490416
26.0,193.0,AJMER,bandersi ndri,NH-8,patan choraha,91.5 KM,92 KM,6.0,6.0,11.0,23,6.0,4.0,6.0,16,29.710502,77.52095299999999
27.0,194.0,AJMER,Madanga nj,NH-8,Vaishanav Devi Puliya,100 KM,"100.5
KM",7.0,6.0,4.0,17,4.0,3.0,2.0,9,26.3427037,73.0443233
28.0,195.0,AJMER,Kishanag rh,NH-8,badganv choraha,96.5 KM,96 KM,7.0,2.0,0.0,9,4.0,2.0,0.0,6,19.2183307,72.9780897
29.0,196.0,AJMER,Kishanag rh,NH-8,MANDORE OVER BRIDGE TO NLU,97 KM,"96.5
KM",3.0,7.0,3.0,13,1.0,2.0,1.0,4,27.0063226,75.76794559999999
30.0,197.0,AJMER,Gandhi nagar,NH-8,Thane ke samne airport cut,107.5 KM,108 KM,1.0,5.0,0.0,6,1.0,8.0,0.0,9,26.08011,74.3228206
31.0,198.0,AJMER,Gandhi nagar,NH-8,Harmada choraha,103.5KM,104 KM,1.0,4.0,4.0,9,1.0,6.0,4.0,11,28.377008,77.0215407
32.0,199.0,AJMER,Adarsh nagar,NH-8,sedriya,396 KM,"396.5
KM",3.0,1.0,2.0,6,4.0,1.0,2.0,7,26.0639793,72.8338234
33.0,200.0,AJMER,Adarsh nagar,NH-8,palra,398 KM,"398.5
KM",5.0,3.0,1.0,9,7.0,3.0,1.0,11,26.1386429,74.3382187
34.0,201.0,AJMER,Adarsh nagar,NH-8,badliya,400 KM,"400.5
KM",1.0,4.0,1.0,6,2.0,6.0,1.0,9,26.3453491,74.5846447
35.0,202.0,AJMER,mangliya was,NH-8,makreda tiraya,53.7 KM,"54.2
KM",2.0,2.0,1.0,5,1.0,3.0,1.0,5,22.8167246,75.9255585
36.0,203.0,AJMER,mangliya was,NH-8,rajgadh choraha,47.2 KM,"47.7
KM",5.0,8.0,8.0,21,3.0,11.0,8.0,22,33.7980993,-117.8348977
37.0,204.0,AJMER,mangliya was,NH-8,lamana choraha,64.8 KM,"65.3
KM",7.0,3.0,4.0,14,8.0,3.0,4.0,14,26.2745676,74.5046809
38.0,205.0,AJMER,mangliya was,NH-8,tabiji,42.8 KM,"43.2
KM",4.0,2.0,6.0,12,11.0,2.0,6.0,19,26.1345419,74.34759749999999
39.0,206.0,AJMER,mangliya was,NH-8,mangliyawas bypas beawar road,61.5 KM,"62.1
KM",2.0,5.0,11.0,18,2.0,5.0,11.0,18,22.9572045,72.5583946
40.0,207.0,AJMER,BEAWAR SADAR,NH-8,KHARWA CHORYA,34 KM,"34.5
KM",13.0,12.0,5.0,30,7.0,8.0,3.0,18,24.6158085,73.6887539
41.0,208.0,AJMER,BEAWAR SADAR,NH-8,PIPLAJ CHORYA,40 KM,"40.5
KM",4.0,4.0,7.0,15,3.0,2.0,5.0,10,26.4885822,74.5509422
42.0,209.0,AJMER,BEAWAR SADAR,NH-8,UDAYPUR ROD CHUNGI NAKA,215 KM,"215.5
KM",8.0,14.0,17.0,39,1.0,10.0,8.0,19,22.750651,72.68466579999999
43.0,210.0,AJMER,PUSHKA R,NH 89,genaheda railway phatak,14 KM,"14.5
KM",5.0,1.0,2.0,8,3.0,1.0,1.0,5,26.0003717,74.2590148
44.0,211.0,AJMER,JAWAJA,NH 8,NARBADKHEDA,61 KM,"61.5
KM",11.0,1.0,2.0,14,7.0,1.0,4.0,12,26.0704897,74.3074213
45.0,212.0,AJMER,JAWAJA,NH 8,KALINJER,70 KM,"70.5
KM",3.0,6.0,2.0,11,5.0,7.0,2.0,14,26.0704897,74.3074213
46.0,213.0,AJMER,JAWAJA,NH 8,DEAWAT,73 KM,"73.5
KM",8.0,5.0,1.0,14,5.0,5.0,3.0,13,26.0704897,74.3074213
47.0,214.0,AJMER,JAWAJA,NH 8,JAWAJA,76 KM,"76.5
KM",2.0,6.0,4.0,12,2.0,6.0,6.0,14,28.6585105,77.21273049999999
48.0,215.0,AJMER,JAWAJA,NH 8,16 MEEL CHORAHA,81 KM,"81.5
KM",3.0,4.0,3.0,10,2.0,10.0,3.0,15,28.6585105,77.21273049999999
49.0,357.0,BUNDI,सदर,NH 52,ससलोर पुसलया,40 KM,"40.5
KM",5.0,5.0,13.0,23,2.0,0.0,4.0,6,25.0969183,75.51456759999999
50.0,358.0,BUNDI,सदर,NH 52,रामगंज बालाजी,30 KM,"30.5
KM",5.0,5.0,9.0,19,1.0,2.0,4.0,7,25.3283665,75.66005059999999
51.0,359.0,BUNDI,डाबी,NH 27,दुधीकु डी कट डाबी,45 KM,"45.5
KM",6.0,4.0,5.0,15,3.0,3.0,2.0,8,25.3150718,75.7219477
52.0,360.0,BUNDI,तालेडा,NH 52,बरून्धन सतराया,20 KM,"20.5
KM",5.0,5.0,3.0,13,2.0,3.0,3.0,8,25.3150718,75.7219477
53.0,361.0,BUNDI,तालेडा,NH 52,बWौप पुसलया के पास,14 KM,"14.5
KM",5.0,4.0,1.0,10,5.0,5.0,0.0,10,,
54.0,362.0,BUNDI,तालेडा,NH 52,तालेङा बाईपास,17 KM,"17.5
KM",6.0,5.0,12.0,23,0.0,3.0,6.0,9,27.0356629,81.1706155
55.0,363.0,BUNDI,नैंनवा,"NH 148
डी",रजलावता मोड,6  KM,6.5  KM,6.0,3.0,2.0,11,3.0,2.0,1.0,6,31.122158,77.1312586
56.0,364.0,BUNDI,सिण्डोली,NH 52,देवा का खेडा इन्दू न्दा मोड उमर   रोड,10 KM,"10.5
KM",4.0,2.0,2.0,8,4.0,2.0,2.0,8,25.5490319,75.51747929999999
57.0,365.0,BUNDI,सिण्डोली,NH 52,काची घाटी व सिण्डोली कट,28  KM,"28.5
KM",2.0,2.0,2.0,6,2.0,2.0,2.0,6,32.50381950000001,75.81077119999999
58.0,366.0,BUNDI,सिण्डोली,NH 52,चतरगंज,20 KM,"20.5
KM",2.0,1.0,2.0,5,2.0,1.0,2.0,5,25.439749,75.5101999
59.0,367.0,BUNDI,सिण्डोली,NH 52,बडानया गॉव से   बसोली मोड,15 KM,"15.5
KM",3.0,2.0,1.0,6,3.0,2.0,1.0,6,25.5841697,75.6505439
60.0,368.0,BUNDI,सिण्डोली,NH 52,सथूर से तलाब गॉव,12 KM,"12.5
KM",2.0,4.0,2.0,8,2.0,4.0,2.0,8,27.1775775,77.8111833
61.0,369.0,BUNDI,दबलाना,"NH 148
डी",मेण्डी सतराया,14 KM,"14.5
KM",5.0,1.0,3.0,9,5.0,1.0,3.0,9,,
62.0,297.0,CHITTOR GARH,kotwali nimbhera,NH 79,jaliya over briz,223 KM,"223.5
KM",6.0,4.0,5.0,,15.0,4.0,3.0,3,,
63.0,298.0,CHITTOR GARH,begun,NH 27,menal,44 KM,"44.5
KM",4.0,2.0,0.0,,6.0,4.0,2.0,0,23.8508581,76.7336521
64.0,299.0,CHITTOR GARH,begun,NH 27,mandna,10 KM,"10.5
KM",2.0,2.0,3.0,,7.0,2.0,2.0,3,25.0617144,74.6235049
65.0,300.0,CHITTOR GARH,parsholi,NH 27,rajgarh,6 KM,6.5 KM,1.0,2.0,4.0,,7.0,1.0,2.0,4,25.663203,74.7629661
66.0,301.0,CHITTOR GARH,gangrar,NH 79,station gangrar,4 KM,4.5 KM,3.0,5.0,5.0,,13.0,1.0,6.0,5,24.8380159,74.57481609999999
67.0,302.0,CHITTOR GARH,bassi,NH 27,baldrkha,4 KM,4.5 KM,1.0,1.0,3.0,0,5.0,1.0,1.0,4,24.8549408,74.62270989999999
68.0,303.0,CHITTOR GARH,sadar chittorga rh,NH 76,rithola choraha,1 KM,1.5 KM,2.0,2.0,5.0,0,9.0,2.0,2.0,6,,
69.0,304.0,CHITTOR GARH,sadar chittorga rh,NH 76,ochri puliya,1 KM,1.5 KM,4.0,1.0,3.0,0,8.0,4.0,1.0,0,44.4224133,-89.7267046
70.0,311.0,BANSWA RA,dksrokyh,NH 113,vkeyhikMk,31 KM,"31.500
KM",2.0,3.0,1.0,6,2.0,1.0,0.0,3,44.4224133,-89.7267046
71.0,312.0,BANSWA RA,lnj,NH 113,ikMhdyk,84.5 KM,85 KM,2.0,2.0,6.0,10,2.0,2.0,4.0,8,,
72.0,313.0,BANSWA RA,lnj,NH 927,dqiMk,7.5 KM,8 KM,5.0,1.0,8.0,14,4.0,0.0,2.0,6,,
73.0,314.0,BANSWA RA,x<h,NH 927,lkfy;k ?kkVh ls isVªksyiEi ls Hkhelksj,1 KM,1.5 KM,2.0,1.0,2.0,5,2.0,1.0,2.0,5,,
74.0,315.0,BANSWA RA,lTtux<,NH 113,vkeyhikMk,1.500 KM,2 KM,0.0,4.0,2.0,6,0.0,1.0,0.0,1,,
75.0,316.0,BANSWA RA,[kesjk,NH 113,eqMklsy,0.500 KM,1 KM,4.0,3.0,6.0,13,1.0,4.0,3.0,8,,
76.0,317.0,BANSWA RA,[kesjk,NH 113,nsonk,1 KM,1.2 KM,1.0,4.0,6.0,11,1.0,1.0,1.0,3,27.6131578,75.1409048
77.0,91.0,JHUNJHN U,fiykuh,NH 709,ihiyh,13 KM,"13.5
KM",3.0,3.0,3.0,9,3.0,3.0,4.0,10,27.6179312,75.1390778
78.0,92.0,SIKAR,kotwali sikar,NH 52,dhod chorha,211 KM,"211.5
KM",3.0,4.0,6.0,13,4.0,3.0,2.0,9,14.5925264,121.0285593
79.0,93.0,SIKAR,SADAR SIKAR,NH 52,Hk<k<j frjkgk ls iVªksy iEi rd,207 KM,"207.5
KM",6.0,6.0,4.0,16,1.0,5.0,1.0,7,27.6179312,75.1390778
80.0,94.0,SIKAR,SADAR SIKAR,NH 52,ukuh pkSjksgk ls jru gksVy rd,215 KM,"215.5
KM",7.0,7.0,9.0,23,4.0,4.0,11.0,19,27.5597457,75.2347796
81.0,95.0,SIKAR,SADAR SIKAR,NH 52,pUniqjk pSkSjkgk ls isVªksy iEi rd,219.2 KM,"219.7
KM",3.0,4.0,3.0,10,1.0,3.0,5.0,9,27.3241396,75.6073509
82.0,96.0,SIKAR,UDHOG NAGAR,NH 52,बाजोर,336.5 KM,337 KM,6.0,5.0,3.0,14,2.0,5.0,3.0,10,27.3732583,75.57490469999999
83.0,97.0,SIKAR,REENGU S,NH- 52,SARGOTH BUS STAND,293 KM,"293.5
KM",4.0,5.0,6.0,15,5.0,3.0,1.0,9,26.853538,75.6293796
84.0,98.0,SIKAR,REENGU S,NH- 52,J D HOSPITAL,302.00K M,"302.5
KM",6.0,6.0,3.0,15,0.0,4.0,2.0,6,27.3670196,75.4054129
85.0,99.0,SIKAR,REENGU S,NH- 52,THIKARIYA,315 KM,"315.5
KM",3.0,3.0,6.0,12,2.0,1.0,3.0,6,22.3826508,72.8072342
86.0,100.0,SIKAR,khatushy amji,NH 52,e.<k frjkgk ls Lons'k okfVdk,324 KM,"324.3
KM",7.0,4.0,4.0,15,6.0,3.0,2.0,11,51.7964637,0.7747727999999999
87.0,101.0,SIKAR,ranoli,NH 11,badala ki dhani,90 KM,90.5KM,3.0,4.0,2.0,9,5.0,2.0,1.0,8,25.9209503,80.7996035
88.0,102.0,SIKAR,kotwali fatehpur,NH 65,nks tkVh ckykth,37 KM.,"37.5
KM",1.0,3.0,9.0,13,1.0,1.0,7.0,9,27.9173682,74.98310409999999
89.0,103.0,SIKAR,kotwali fatehpur,NH 65,vk'khZokn pkSjkgk,36 KM,"36-500
M.",4.0,3.0,2.0,9,1.0,3.0,3.0,7,,
90.0,104.0,SIKAR,sadar fatehpur,Nh 52,harsava bara,386 KM,"386.5
KM",4.0,5.0,4.0,13,7.0,5.0,2.0,14,33.8493847,36.0126384
91.0,105.0,SIKAR,ramgrah sethan,Nh 65,hoadsar bus stand,9 KM,9.5 KM,3.0,0.0,5.0,8,6.0,0.0,3.0,9,27.8214683,75.0268822
92.0,106.0,SIKAR,Laxmang arh,NH 52,Chihas Bus Stand,147.7 KM,"148.2
KM",4.0,3.0,2.0,9,2.0,2.0,1.0,5,30.3226031,76.3936603
93.0,107.0,SIKAR,Laxmang arh,NH 52,Bagdi Choraha,142.5 KM,143 KM,4.0,1.0,5.0,10,2.0,0.0,2.0,4,27.4891901,76.2537052
94.0,108.0,SIKAR,Laxmang arh,NH 52,Modi college,140 KM,"140.5
KM",3.0,4.0,2.0,9,2.0,2.0,1.0,5,28.6694598,77.33172449999999
95.0,128.0,ALWAR,THANAG AZI,NH 248 A,MALUTANA,5 KM,5.5 KM,5.0,1.0,1.0,7,5.0,1.0,1.0,7,27.518814,76.7520797
96.0,129.0,ALWAR,NEB,NH 248 A,Surya Nagar,85 KM,"84.5
KM",14.0,16.0,14.0,44,6.0,7.0,7.0,20,27.531147,76.7069138
97.0,130.0,ALWAR,UDHYOG NAGAR,NH 248 A,bagad tiraya,10 KM,9.5 KM,12.0,8.0,4.0,24,5.0,2.0,4.0,11,27.5463697,76.6679865
98.0,131.0,ALWAR,UDHYOG NAGAR,NH 248 A,keshroli mod,5.5 KM,6 KM,1.0,1.0,6.0,8,1.0,1.0,2.0,4,18.5807719,73.9787063
99.0,132.0,ALWAR,UDHYOG NAGAR,NH 248 A,bakhtal ki choki,6 KM,6-5 KM,3.0,4.0,3.0,10,1.0,0.0,0.0,1,27.5347781,76.69575689999999
100.0,133.0,ALWAR,UDHYOG NAGAR,NH 248 A,sere panjab dhaba ghegholi mod,9.5 KM,10 KM,4.0,3.0,1.0,8,6.0,1.0,1.0,8,27.8753399,79.9147268
101.0,134.0,ALWAR,UDHYOG NAGAR,NH 248 A,lohiya ka tibara,10 KM,"10.5
KM",2.0,5.0,1.0,8,0.0,4.0,1.0,5,17.9842523,73.46457339999999
102.0,135.0,ALWAR,shahjhan pur,NH 48,Sasedi cut to Rto check post,43 KM,"43.5
KM",11.0,16.0,18.0,45,5.0,7.0,9.0,21,27.9796711,76.3961899
103.0,136.0,ALWAR,shahjhan pur,NH 48,toll plaza to pholadpur Puliya,7.5 KM,7.7 KM,9.0,7.0,13.0,29,3.0,3.0,5.0,11,27.9796711,76.3961899
104.0,137.0,ALWAR,नीमराणा,NH 8,दुघेडा कट,20 KM,"20.3
KM",5.0,8.0,4.0,17,2.0,5.0,2.0,9,27.9796711,76.3961899
105.0,138.0,ALWAR,नीमराणा,NH 8,नीमराणा पुसलया,38 KM,"38.1
KM",12.0,15.0,8.0,35,5.0,9.0,6.0,20,27.9887989,76.49245499999999
106.0,139.0,ALWAR,नीमराणा,NH 8,सिरो चौक,35 KM,"35.1
KM",7.0,9.0,6.0,22,3.0,6.0,5.0,14,27.8744835,76.3116235
107.0,140.0,ALWAR,बिरोड,NH 8,शेरपुर कट,29 KM,"29.2
KM",6.0,1.0,4.0,11,3.0,0.0,3.0,6,27.9887989,76.49245499999999
108.0,141.0,ALWAR,बिरोड,NH 8,जागुवास चौक,23 KM,"23.5
KM",8.0,5.0,5.0,18,2.0,3.0,4.0,9,27.9887989,76.49245499999999
109.0,142.0,ALWAR,बिरोड,NH 8,गुंती पुसलया,11 KM,"11.5
KM",1.0,3.0,5.0,9,1.0,1.0,3.0,5,,
110.0,143.0,ALWAR,बिरोड,NH 8,बिरोड पुसलया,24 KM,"24.1
KM",8.0,0.0,6.0,14,2.0,0.0,2.0,4,,
111.0,158.0,BHARATP UR,CHIKSAN A,NH- 21,UNCHANAGLA,12 KM,"12.5
KM",5.0,4.0,6.0,15,3.0,1.0,3.0,7,27.1785143,77.416743
112.0,159.0,BHARATP UR,SEWAR,NH- 21,BANSI,14 KM,"14.5
KM",4.0,3.0,3.0,10,4.0,3.0,3.0,10,,
113.0,160.0,BHARATP UR,SEWAR,NH- 21,LUDHAWAI,6 KM,6.5 KM,5.0,7.0,5.0,17,5.0,7.0,5.0,17,32.3853003,75.6419023
114.0,161.0,BHARATP UR,SEWAR,NH- 21,SEVER TIRAYA,4 KM,4.2 KM,4.0,4.0,3.0,11,4.0,4.0,3.0,11,27.1617788,77.31449359999999
115.0,162.0,BHARATP UR,LAKHANP UR,NH- 21,DEHRA MOD,79 KM,"79.5
KM",8.0,4.0,5.0,17,4.0,2.0,2.0,8,27.2151863,77.5029996
116.0,163.0,BHARATP UR,LAKHANP UR,NH- 21,LULHARA,4 KM,4.1 KM,2.0,5.0,2.0,9,1.0,2.0,2.0,5,25.3828024,76.5748309
117.0,164.0,BHARATP UR,LAKHANP UR,NH- 21,BACHHRAIN,11 KM,"11.1
KM",3.0,6.0,0.0,9,1.0,5.0,0.0,6,27.5185135,77.16720939999999
118.0,165.0,BHARATP UR,ROOPWA S,NH- 123,JARELA,30 KM,"30.5
KM",3.0,4.0,5.0,9,2.0,6.0,3.0,11,28.0243178,73.27220400000002
119.0,166.0,BHARATP UR,ROOPWA S,NH- 123,KHANAUA,28 KM,"28.5
KM",3.0,2.0,3.0,8,3.0,2.0,3.0,8,28.217132,73.9712488
120.0,144.0,BIKANER,Nayasah ar,NH- 11,Kalla petrol pump,2 KM,2.5 KM,5.0,3.0,2.0,10,5.0,5.0,2.0,12,28.0772653,73.5446889
121.0,145.0,BIKANER,Napasar,NH- 11,Gusaisar,29.5 KM,30 KM,3.0,3.0,2.0,8,3.0,3.0,0.0,6,27.9499008,73.0464309
122.0,146.0,BIKANER,Napasar,NH- 11,Norangdesar,22.5 KM,23 KM,3.0,3.0,3.0,9,6.0,4.0,4.0,14,28.2567266,73.398867
123.0,147.0,BIKANER,Gajner,NH- 11,JNV  fanta,32 KM,"32.5
KM",2.0,2.0,5.0,9,2.0,3.0,6.0,11,28.2567266,73.398867
124.0,148.0,BIKANER,Jamsar,NH- 62,Jamsar bus stop,27 KM,"27.5
KM",1.0,3.0,2.0,6,1.0,5.0,2.0,8,28.4960789,73.7458334
125.0,149.0,BIKANER,Jamsar,NH- 62,Riico Khara,18 KM,"18.5
KM",3.0,3.0,2.0,8,3.0,3.0,0.0,6,25.0958656,76.5196703
126.0,150.0,BIKANER,Lunkaran sar,NH- 62,Lunkaransar,72.5 KM,73 KM,4.0,2.0,4.0,10,6.0,3.0,2.0,11,28.6585105,77.21273049999999
