"S
No.",Polic e BS No.,Name of Distt.,Name of Police Station,"No of NH
road",name of the location place,Limits high accident prone Location,Unnamed: 7,Number of Accident,Unnamed: 9,Unnamed: 10,Unnamed: 11,Number of fatalities,Unnamed: 13,Unnamed: 14,Unnamed: 15,Latitude,Longitude
169.0,237.0,TONK,NEWAI,NH 52,CHAINPURA MOD LALWADI CHORAHA,50.1 KM,"50.6
KM",2.0,3.0,5.0,10,1.0,1.0,4.0,6,28.2937839,79.804459
170.0,238.0,TONK,NEWAI,NH 52,MAHAVEER DHABA TIRAHA,44.9 KM,"45.4
KM",2.0,1.0,2.0,5,1.0,0.0,2.0,3,26.1875397,75.8443866
171.0,239.0,TONK,NEWAI,NH 52,HOTEL RJ-26 SE BISALPUR PUMP HOUSE,57.2 KM,"57.7
KM",4.0,1.0,1.0,6,1.0,1.0,1.0,3,25.3418083,74.63181039999999
172.0,240.0,TONK,SADAR TONK,NH 52,BANAS NADI PULIYA SE PAKKA BANDHA PURANA TOL TAK,"95.700
KM",96 KM,4.0,5.0,5.0,14,1.0,5.0,9.0,15,26.1659063,75.7962852
173.0,241.0,TONK,SADAR TONK,NH 52,BALAJI CUT SE GARG PETROL PUMP KE PAS,97 KM,"97.5
KM",6.0,7.0,3.0,16,3.0,5.0,1.0,9,26.3609304,75.9289046
174.0,242.0,TONK,SADAR TONK,NH 52,BADA CUT KE AAS PAS,105.5 KM,106 KM,5.0,3.0,5.0,13,1.0,2.0,2.0,5,26.4907517,75.9450074
175.0,243.0,TONK,NIWAI SADAR,NH 52,GUNSI PULIYA KE AAS PAS,42.2 KM,"42.7
KM",6.0,3.0,4.0,13,2.0,0.0,3.0,5,,
176.0,244.0,TONK,NIWAI SADAR,NH 52,RAMA'S RESORT KE PAS,58.2 KM,"58.7
KM",0.0,1.0,5.0,6,0.0,1.0,5.0,6,25.9826867,75.9637413
177.0,245.0,TONK,GHAR,NH 52,SAROLI MOD,34.8 KM,"35.3
KM",5.0,6.0,2.0,13,2.0,4.0,7.0,13,26.9087325,76.35793360000001
178.0,246.0,TONK,UNIYARA,NH 116,RAMDEV JI KA MANDIR TAN DHIKOLIYA,9 KM,9.5 KM,2.0,3.0,2.0,7,2.0,2.0,2.0,6,26.9135019,76.3401603
179.0,109.0,DAUSA,dksrokyh,NH- 21,collectrat choraha agra road dausa,55 KM,"55.5
KM",1.0,2.0,4.0,7,2.0,2.0,4.0,8,26.9135019,76.3401603
180.0,110.0,DAUSA,dksrokyh,NH- 21,police lin chouraha agra road dausa,53  KM,"53.5
KM",1.0,6.0,2.0,7,2.0,6.0,2.0,8,26.8883564,76.26818709999999
181.0,111.0,DAUSA,dksrokyh,NH- 21,midway ke samne agra road dausa,49  KM,"49.5
KM",,2.0,3.0,5,,2.0,3.0,5,44.4224133,-89.7267046
182.0,112.0,DAUSA,lnj,NH- 21,Bhandana,"188.5
KM","190
KM",4.0,7.0,5.0,16,2.0,4.0,6.0,12,44.4224133,-89.7267046
183.0,113.0,DAUSA,lnj,NH- 21,Jirota mod,"184.9
KM","185.1
KM",5.0,3.0,8.0,16,3.0,2.0,7.0,12,27.2065212,77.0337548
184.0,114.0,DAUSA,lnj,NH- 21,Truck union,"184.2
KM","184.4
KM",4.0,1.0,0.0,5,3.0,1.0,0.0,4,44.4224133,-89.7267046
185.0,115.0,DAUSA,lnj,NH- 21,Kherli mode,"172.1
KM","172.6
KM",2.0,3.0,7.0,12,2.0,1.0,4.0,7,26.9046455,76.4939006
186.0,116.0,DAUSA,lnj,NH- 21,Bhandaraj mode,"171.7
KM","172
KM",10.0,7.0,7.0,24,2.0,2.0,3.0,7,27.0154649,76.2389756
187.0,117.0,DAUSA,lnj,NH- 21,Kalakho,165.  KM,"165.4
KM",5.0,4.0,5.0,14,2.0,1.0,4.0,7,,
188.0,118.0,DAUSA,lSaFky,NH- 148,"MITHA LAL KA DHABA KE PAS, KHURI KALAN, NH - 148","111.8
KM","112.3
KM",4.0,0.0,0.0,4,10.0,0.0,0.0,10,29.5888178,73.9103384
189.0,119.0,DAUSA,lSaFky,NH- 148,BANSIWAL PATROL PAMAP KE PAS,117.4 KM,"118.9
KM",4.0,3.0,5.0,12,5.0,3.0,5.0,13,41.6872975,-85.9746133
190.0,120.0,DAUSA,fldUnjk,NH- 21,Dabar Dhani,153  KM,"153.5
KM",6.0,4.0,2.0,12,6.0,4.0,2.0,12,27.2155753,77.9505394
191.0,121.0,DAUSA,fldUnjk,NH- 21,Reta,162  KM,"162.5
KM",2.0,2.0,3.0,7,2.0,2.0,3.0,7,23.4755363,77.3381855
192.0,122.0,DAUSA,fldUnjk,NH- 21,Sikandra Chauraha,151  KM,"151.5
KM",2.0,2.0,4.0,8,4.0,2.0,4.0,10,,
193.0,123.0,DAUSA,egok,NH- 21,Pipalkhera,125.7 KM,"126.3
KM",3.0,3.0,2.0,8,2.0,3.0,2.0,7,27.0414769,76.8980371
194.0,124.0,DAUSA,egok,NH- 21,patoli,131  KM,"131.5
KM",7.0,4.0,7.0,17,4.0,2.0,5.0,11,,
195.0,125.0,DAUSA,egok,NH- 21,samleti,"118.5
KM","119
KM",3.0,3.0,3.0,9,2.0,1.0,2.0,5,26.9457936,76.62105389999999
196.0,126.0,DAUSA,ekuiqj,NH- 21,मानपुर चोरािा,0  KM,0.5  KM,4.0,1.0,1.0,6,4.0,1.0,1.0,6,28.0306976,74.4701475
197.0,127.0,DAUSA,ekuiqj,NH- 21,रायपुरा ब्राह्मण,7  KM,7.1  KM,2.0,2.0,2.0,6,2.0,2.0,2.0,6,28.2061358,74.9637909
198.0,155.0,CHURU,RAJALDE SAR,NH 11,PARSNAU FANTA NH 11,10 KM,"10.05
KM",2.0,1.0,1.0,4,2.0,8.0,1.0,11,24.7517368,71.7762183
199.0,156.0,CHURU,RATANN AGAR,NH 52,NH 52 RATANNAGAR TERAHA,1 KM,1.5 KM,5.0,1.0,1.0,7,6.0,1.0,1.0,8,25.3444799,72.6253763
200.0,268.0,JALORE,Sanchore,N.H. 68,DHAMANA  BUS STAND,9.500 KM,10 KM,6.0,4.0,4.0,14,4.0,2.0,2.0,8,,
201.0,269.0,JALORE,KOTWALI JALORE,N.H. 325,CIRCUIT  HOUSE LETA ROAD JALORE,1.500 KM,2 KM,2.0,0.0,5.0,7,3.0,0.0,4.0,7,30.7730251,76.793527
202.0,157.0,HANUMA NGARH,Sangariy a,NH 54,nagrana mode,12 KM,"12.5
KM",2.0,3.0,4.0,9,3.0,4.0,8.0,15,25.1227718,75.97244909999999
203.0,354.0,KOTA CITY,R.K.PURA M,NH- 27,Hanging Brize to Fourlane Nayagaonv puliya,"1058.5
KM","1059
KM",3.0,4.0,7.0,14,3.0,1.0,1.0,5,,
204.0,355.0,KOTA RURAL,kaithoon,NH- 27,rkFksM rsy fMIiks ls rkFksM iqfy;k,1 KM,1.5 KM,3.0,3.0,5.0,11,2.0,1.0,5.0,8,,
205.0,356.0,KOTA RURAL,MORAK,NH 52,abli mini ka mahal to dara gav,10 KM,"10.5
KM",2.0,1.0,2.0,5,3.0,1.0,2.0,6,,
206.0,286.0,UDAIPUR,izrkiuxj,NH 8,izrkiuxj pksjkgk,"113.5
KM","114
KM",3.0,2.0,0.0,5,3.0,2.0,0.0,5,,
207.0,287.0,UDAIPUR,izrkiuxj,NH 76,ftad pkSjkgk,"121.2
KM","121.7
KM",2.0,2.0,1.0,5,2.0,2.0,1.0,5,,
208.0,288.0,UDAIPUR,lq[ksj,NH 8,vej[k egknso eafnj ls vEcsjh iqfy;k,"255.1
KM","255.2
KM",4.0,8.0,5.0,17,4.0,10.0,5.0,19,,
209.0,289.0,UDAIPUR,xkso/kZufoykl,NH 8,cyhpk ck;ikl,278  KM,"278.5
KM",2.0,6.0,8.0,16,2.0,6.0,6.0,14,,
210.0,290.0,UDAIPUR,ijlkn,NH 8,ijkbZ,318  KM,"318.1
KM",4.0,1.0,5.0,10,10.0,1.0,7.0,18,,
211.0,291.0,UDAIPUR,"_""kHknso",NH 8,dkxnj,"341.3
KM","341.7
KM",2.0,4.0,5.0,11,2.0,4.0,5.0,11,,
